id,first_name,last_name,risk,resiliency,risk_calculation,risk_category
572,Nicola,Sickamore,42,27,-15,critical
573,Claybourne,Malkie,86,81,-5,critical
574,Mamie,Reach,72,27,-45,critical
575,Myrwyn,Nunn,12,53,41,medium
576,Lorrie,Galey,15,92,77,none
577,Alexandre,Nehl,84,32,-52,critical
578,Halie,Helks,92,75,-17,critical
579,Berti,Thornber,95,29,-66,critical
580,Kathryne,Greatrex,60,26,-34,critical
581,Cayla,Latham,43,100,57,low
582,Agnola,Sevin,3,67,64,low
583,Roberta,Cranidge,52,54,2,high
584,Lurline,Getty,1,9,8,high
585,Emelina,Zannetti,97,75,-22,critical
586,Jackie,Lamacraft,82,40,-42,critical
587,Harvey,Eglington,29,5,-24,critical
588,Andrus,MacLaig,94,72,-22,critical
589,Eliot,Chittim,54,78,24,high
590,Ebony,Kleinhandler,40,7,-33,critical
591,Elliott,Pecha,96,7,-89,critical
592,Sammie,Graalman,69,4,-65,critical
593,Brigitte,Stollard,79,81,2,high
594,Marney,Bengal,2,36,34,medium
595,Arabele,Douthwaite,11,88,77,none
596,Mikael,Robic,93,68,-25,critical
597,Donny,Croyden,91,54,-37,critical
598,Tynan,Borg-Bartolo,23,90,67,low
599,Raimondo,Sherringham,48,14,-34,critical
600,Ruthanne,Spinnace,80,31,-49,critical
601,Teirtza,Adenot,3,54,51,low
602,Luella,Jozsika,33,100,67,low
603,See,Helliwell,36,73,37,medium
604,Caryn,Algate,72,100,28,medium
605,Cherey,Slegg,79,53,-26,critical
606,Ayn,Shotboulte,57,28,-29,critical
607,Kenny,Mateev,57,1,-56,critical
608,Loraine,Mansel,62,33,-29,critical
609,Meredith,Cearley,5,62,57,low
610,Jaquelin,Jaze,17,6,-11,critical
611,Emalee,Bothen,3,43,40,medium
612,Minnie,Gainor,5,38,33,medium
613,Alikee,Ockleshaw,91,73,-18,critical
614,Meggi,Cardus,85,45,-40,critical
615,Gus,Sedgwick,100,20,-80,critical
616,Dory,Bispham,98,92,-6,critical
617,Egon,Colthurst,54,93,39,medium
618,Lottie,Crollman,25,76,51,low
619,Claudie,Bazire,46,78,32,medium
620,Dorian,Trazzi,77,48,-29,critical
621,Gert,Ruggier,38,70,32,medium
622,Madalyn,Leat,81,85,4,high
623,Ingra,Goshawk,85,37,-48,critical
624,Gwen,Dolan,75,49,-26,critical
625,Erny,Chisholme,97,59,-38,critical
626,Erny,Chaters,93,90,-3,critical
627,Irene,Heggman,60,17,-43,critical
628,Geoff,Corballis,49,34,-15,critical
629,Duffy,Ashman,83,10,-73,critical
630,Pearline,Brader,94,41,-53,critical
631,Malissia,Daniaud,10,90,80,none
632,Port,Baselio,92,62,-30,critical
633,Neilla,Osgarby,43,33,-10,critical
634,Deidre,Moughtin,7,84,77,none
635,Kathy,Critchard,56,5,-51,critical
636,Elset,Ainsbury,63,54,-9,critical
637,Stillman,Mafham,53,55,2,high
638,Alfie,Kelloway,16,2,-14,critical
639,Rebbecca,Duckerin,18,93,75,none
640,Gretal,Pengelley,41,71,30,medium
641,Josh,Rissen,81,64,-17,critical
642,Gui,Rennix,33,14,-19,critical
643,Nahum,Smeal,64,40,-24,critical
644,Wash,Golledge,33,64,31,medium
645,Tansy,Kleinholz,64,76,12,high
646,Constancia,Brocklehurst,23,15,-8,critical
647,Lilia,Biggins,16,2,-14,critical
648,Curry,Prosek,52,52,0,high
649,Gayleen,Mixworthy,100,94,-6,critical
650,Willis,Mixture,95,42,-53,critical
